"osm_id","geometry","children","adults","elderly","total_pop","age_entropy_index","osm_category","category","subcategory","name"
1043467,"POINT(122947.90890224007 483465.39048405294)",175,1510,35,1720,0.3878392218538963,"leisure","public","park","Bella Vistapark"
2422947,"POINT(119988.34439681022 483394.9112896306)",220,1545,80,1845,0.48993994820591136,"place","public","square","Gustav Mahlerplein"
2922334,"POINT(120227.8292309829 487960.9387381747)",445,3495,610,4550,0.6366168262929371,"leisure","public","park","Frederik Hendrikplantsoen"
2924345,"POINT(120256.23825184615 488063.50014112017)",375,3065,560,4000,0.638246313202574,"leisure","public","playground",NULL
3583193,"POINT(121490.43032023555 486778.0433097444)",55,1295,135,1485,0.4182059919558332,"amenity","culture","theatre","Universiteitstheater"
3604194,"POINT(122486.3515928221 486405.9257619321)",60,595,245,900,0.7357689361381256,"amenity","culture","social_facility","Sarphatihuis"
3674345,"POINT(119870.669591947 487000.898500217)",255,1680,295,2230,0.6634849776219713,"amenity","culture","arts_centre","De Nieuwe Liefde"
3686810,"POINT(120312.95062893788 482865.22286653373)",60,300,100,460,0.7975511165325083,"amenity","culture","community_centre","MFC Binnenhof"
4366722,"POINT(123201.34248324475 485912.4637143166)",25,90,30,145,0.8420384869622276,"leisure","public","park","Oosterpark"
4376560,"POINT(122412.88371705514 486766.46204265044)",130,1090,405,1625,0.7429298881821595,"leisure","public","park","Wertheimpark"
4734243,"POINT(121012.18887039459 485228.28621840803)",325,3630,375,4330,0.5043274391509689,"leisure","public","playground","Hercules Seghersplein"
4754219,"POINT(119219.8487942596 484102.8888255231)",310,1855,265,2430,0.6466793137751032,"leisure","public","playground",NULL
4842719,"POINT(118475.28513735725 485396.14058821806)",275,1315,205,1795,0.6946632571191556,"leisure","public","park",NULL
4847788,"POINT(118795.6050656511 486898.2050584499)",530,2995,315,3840,0.6119542896077997,"leisure","public","playground","Balboaplein"
4847791,"POINT(118674.09833365887 487011.3937919847)",580,3795,390,4765,0.5848109410156658,"leisure","public","playground",NULL
4847801,"POINT(118778.18079126869 486046.1221201984)",555,2950,285,3790,0.610717605826815,"place","public","square","Bonaireplein"
6316270,"POINT(121564.8877611757 485280.0756890002)",265,2180,280,2725,0.5816029052968039,"leisure","public","park","Sarphatipark"
6316354,"POINT(117115.26549820634 487926.41720303753)",385,1520,170,2075,0.678599550859761,"leisure","public","park","Gerbrandypark"
7112728,"POINT(121467.76282852048 485453.25541164284)",90,1205,135,1430,0.49255816612817854,"amenity","sustenance","marketplace","Albert Cuyp-markt"
7259649,"POINT(124249.8351492546 487231.99812902894)",185,1095,125,1405,0.6157722851745252,"leisure","public","park",NULL
7350368,"POINT(119774.9737298765 482474.5647878515)",40,185,65,290,0.8148502025280273,"leisure","public","park","Gijsbrecht van Aemstelpark"
7884942,"POINT(121844.82924534415 487298.0062177403)",295,3310,715,4320,0.6235471433798683,"place","public","square","Nieuwmarkt"
7911414,"POINT(121129.00609391321 486886.4912042313)",35,1390,210,1635,0.4404634013220583,"place","public","square","Spui"
8483733,"POINT(121226.56260084952 485766.01518113253)",310,2380,370,3060,0.6215775437857893,"leisure","public","park","H.M. van Randwijkplantsoen"
8483734,"POINT(121277.63871434209 485763.05318860937)",85,905,160,1150,0.5966503466305474,"leisure","public","playground","Speeltuin UJ Klaren"
8483735,"POINT(121280.4334402389 485781.34544772084)",220,1665,295,2180,0.6443940813767796,"leisure","public","park","Tweede Weteringplantsoen"
8522304,"POINT(120642.53866443461 486374.4564737114)",135,2000,230,2365,0.4841033243211556,"place","public","square","Leidseplein"
9194650,"POINT(119322.80142450494 487784.6118470976)",325,1990,175,2490,0.574837247580559,"leisure","public","playground",NULL
9654329,"POINT(129079.01282535619 484717.39450976095)",440,1125,35,1600,0.6246889818005902,"leisure","public","park","Theo van Goghpark"
9675033,"POINT(122977.94063384135 485218.0649194329)",480,2535,375,3390,0.6714527971938168,"leisure","public","playground",NULL
10212039,"POINT(121079.35988662987 485840.75771689205)",170,1445,250,1865,0.6238775499880288,"leisure","public","park","Eerste Weteringplantsoen"
10573385,"POINT(125306.8527192683 484117.60686480376)",175,975,195,1345,0.7086546049364065,"leisure","public","playground",NULL
10717948,"POINT(123160.4286322068 485211.4635550415)",745,3905,570,5220,0.6706708915158238,"leisure","public","playground","basket"
11385489,"POINT(127302.41169895066 481582.28248717135)",170,635,50,855,0.6445696699598209,"place","public","square","Goed Geluimd hof"
11670011,"POINT(122918.78531904802 484469.5709867391)",95,555,150,800,0.7469064461590208,"leisure","public","playground",NULL
11729983,"POINT(126843.48663009572 481223.29082323785)",450,1870,195,2515,0.6612777826181175,"leisure","public","playground",NULL
11729989,"POINT(126831.63323837428 481303.6388791703)",500,1845,355,2700,0.7639200979008658,"place","public","square","Bijlmermonument"
12882288,"POINT(123816.59381665297 484960.364938625)",200,755,155,1110,0.769916181268926,"leisure","public","playground",NULL
21512760,"POINT(121597.21421043116 484160.9750407401)",610,2935,570,4115,0.7262074284660591,"leisure","public","park",NULL
22964107,"POINT(122378.4022348064 488588.373933366)",35,90,20,145,0.830462688766254,"leisure","public","park",NULL
23289623,"POINT(122415.71096275252 486565.86263787077)",145,1285,445,1875,0.7266002587269347,"leisure","public","park","J.W. van Overloopplantsoen"
24979061,"POINT(118500.47710455346 487744.5635846969)",415,2935,280,3630,0.5619890661855602,"leisure","public","park",NULL
24979184,"POINT(118544.2058427663 487583.0939109162)",55,425,50,530,0.5778858812589339,"leisure","public","park","Erasmuspark"
25029549,"POINT(118984.36129087754 488332.13594532403)",410,2490,210,3110,0.5708411609339592,"leisure","public","park",NULL
25029551,"POINT(119034.60418911587 488281.15717864624)",520,2765,250,3535,0.6020684051032383,"leisure","public","park",NULL
25029905,"POINT(118660.77008484954 487930.0481911309)",605,3835,345,4785,0.5720415674689351,"leisure","public","park",NULL
25029910,"POINT(118606.23777700073 488000.94731738267)",555,3660,355,4570,0.5755995171800143,"leisure","public","park","Theophilusplantsoen"
25029914,"POINT(118564.16856948785 488142.27204140334)",365,1740,210,2315,0.6586268888658227,"leisure","public","park","hertspiegelplantsoen"
25047934,"POINT(121425.1978274112 485272.12742745987)",450,4115,445,5010,0.539910239386229,"leisure","public","playground",NULL
25291059,"POINT(119024.84234054321 484738.55413380574)",430,2685,730,3845,0.7383869419398922,"leisure","public","playground",NULL
25649083,"POINT(120040.93877631529 484702.3347586975)",450,1355,380,2185,0.842831536948475,"leisure","public","park","Adama van Scheltemaplein"
25649232,"POINT(119790.81636751443 484691.72181914834)",520,1445,460,2425,0.8683751599909089,"leisure","public","park","Veroneseplantsoen"
25653454,"POINT(119988.23272116313 484418.94161177997)",595,2035,605,3235,0.8342894485174416,"leisure","public","park","Prof. Durrerplantsoen"
25741234,"POINT(119549.70558449476 484457.3898759198)",65,300,70,435,0.7593925858686265,"leisure","public","playground","Halve Maan"
25790931,"POINT(114692.2161843317 483953.6710588327)",35,235,55,325,0.70550564615898,"leisure","public","playground","Speeltuin Sloten"
25800735,"POINT(120461.27411725307 486292.71235950856)",95,1080,155,1330,0.5535073649305595,"leisure","public","park","Leidsebosje"
25809009,"POINT(120528.29661780332 486198.3355949108)",20,640,75,735,0.41095620553803885,"leisure","public","park","Leidsebosje"
25885100,"POINT(118685.11105138346 485317.9418497208)",270,1910,230,2410,0.5950467006819821,"leisure","public","playground",NULL
25965389,"POINT(120557.42808868966 485613.7712312124)",160,785,165,1110,0.7350611819182303,"leisure","public","park","Museumplein"
25965826,"POINT(120677.65002483898 485404.1991441327)",420,2190,380,2990,0.6971869941315478,"leisure","public","park",NULL
26037982,"POINT(120554.43950349552 483955.51543454744)",5,45,25,75,0.7766490138119514,"leisure","public","park","Beatrixpark"
