"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index"
"POINT(84107.36610807553 455294.15702386707)",1216287,"010100002040710000332494DBB588F44057DDCAA0F8C91B41",65,0.15116279069767441860,330,0.76744186046511627907,35,0.08139534883720930233,430,0.6307210789586072
"POINT(87861.62517959459 452280.2254677254)",2307803,"0101000020407100008E51BC005A73F540EC02E1E6E09A1B41",555,0.31805157593123209169,1120,0.64183381088825214900,70,0.04011461318051575931,1745,0.7081262928009372
"POINT(87828.357923751 452474.90523509006)",2307817,"01010000204071000050410EBA4571F5408CF2F59EEB9D1B41",530,0.32716049382716049383,1060,0.65432098765432098765,30,0.01851851851851851852,1620,0.6525895746972897
"POINT(87064.4417732333 452713.55572212447)",2309839,"01010000204071000054CF80118741F54079380F39A6A11B41",140,0.32941176470588235294,280,0.65882352941176470588,5,0.01176470588235294118,425,0.6307843882385408
"POINT(86984.43951296757 453179.6076684733)",2310099,"010100002040710000DEBF3E08873CF540EFA4406EEEA81B41",930,0.28310502283105022831,2265,0.68949771689497716895,90,0.02739726027397260274,3285,0.6482423051548016
"POINT(79784.16953540857 454224.54708355886)",2824883,"010100002040710000B5C26AB6827AF34026AC363042B91B41",2805,0.16350918099679393763,12595,0.73418828329932964150,1755,0.10230253570387642087,17155,0.6883089093362521
"POINT(79641.93074988302 454669.5824058659)",2832958,"01010000204071000045FD59E49E71F3400C34625436C01B41",1080,0.14644067796610169492,5560,0.75389830508474576271,735,0.09966101694915254237,7375,0.659125413836487
"POINT(82356.77297319216 455327.4751049428)",3556651,"0101000020407100005023195E4C1BF440FEE881E67DCA1B41",320,0.13588110403397027601,1820,0.77282377919320594480,215,0.09129511677282377919,2355,0.6270679237508163
"POINT(81565.89947182528 455382.1718426919)",3576907,"01010000204071000094913C64DEE9F340D787F7AF58CB1B41",125,0.05274261603375527426,1970,0.83122362869198312236,275,0.11603375527426160338,2370,0.5086101698354161
"POINT(79306.65321737622 453733.60362419806)",3589372,"01010000204071000041109473AA5CF34037761C6A96B11B41",3535,0.17604581673306772908,14800,0.73705179282868525896,1745,0.08690239043824701195,20080,0.6762766191842793
"POINT(78847.064400131 451010.43460618204)",3592370,"010100002040710000886EC807F13FF3402A6709BD09871B41",1135,0.18822553897180762852,4040,0.66998341625207296849,855,0.14179104477611940299,6030,0.7824988300017066
"POINT(78608.53485564762 453521.34583225235)",4475251,"010100002040710000AACBC48E0831F34097D9216245AE1B41",2325,0.15572672471533824514,10735,0.71902210314802411253,1870,0.12525117213663764233,14930,0.7163378710613123
"POINT(78542.83672735454 453652.8711464925)",4475253,"010100002040710000F7383C63ED2CF3407DD30D7C53B01B41",2135,0.15239114917915774447,10275,0.73340471092077087794,1600,0.11420413990007137759,14010,0.6935006618045594
"POINT(78607.08697186876 453683.70475436223)",4475256,"010100002040710000409D3C64F130F340A620ABD1CEB01B41",1735,0.15477252453166815343,8315,0.74174843889384478145,1160,0.10347903657448706512,11210,0.6782179240465741
"POINT(85388.79298814945 449116.34229179943)",6315410,"010100002040710000805714B0CCD8F440D1BD815E71691B41",35,0.25925925925925925926,100,0.74074074074074074074,0,0E-20,135,0.5209123406908593
"POINT(77734.42307193989 452365.6586622799)",6315497,"0101000020407100001B15E7C466FAF2405D5D78A2369C1B41",245,0.16610169491525423729,975,0.66101694915254237288,255,0.17288135593220338983,1475,0.7966923270267402
"POINT(79445.05917929775 452507.5946584849)",6315507,"010100002040710000C7FD65F25065F3406427EE606E9E1B41",10,0.10000000000000000000,80,0.80000000000000000000,10,0.10000000000000000000,100,0.5816718657178868
"POINT(76855.2067925496 454455.7881680848)",6315557,"01010000204071000059B4054F73C3F240D0881527DFBC1B41",70,0.09790209790209790210,325,0.45454545454545454545,320,0.44755244755244755245,715,0.8608208090113589
