"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index"
"POINT(88530.07159229733 436870.50155168504)",1022941,"010100002040710000FBF63D25219DF540D2C396011AAA1A41",1190,0.14371980676328502415,6215,0.75060386473429951691,875,0.10567632850241545894,8280,0.6659546899997097
"POINT(90754.24395796692 438465.40230236656)",1104169,"010100002040710000187840E72328F640CE26F59B05C31A41",30,0.11538461538461538462,210,0.80769230769230769231,20,0.07692307692307692308,260,0.5634173407545278
"POINT(95416.21014655614 431605.97375583206)",1146360,"010100002040710000A0A2C25C834BF740B43F20E5D7571A41",395,0.20204603580562659847,1290,0.65984654731457800512,270,0.13810741687979539642,1955,0.792698624969102
"POINT(91739.83835036923 434694.9837589381)",1243084,"010100002040710000A713E269BD65F640C9805EEF1B881A41",795,0.18213058419243986254,3050,0.69873997709049255441,520,0.11912943871706758305,4365,0.7410341526958455
"POINT(89491.97155633711 437274.3143733913)",1250441,"01010000204071000062A87E8B3FD9F5402919EB4169B01A41",1600,0.21724372029871011541,5105,0.69314324507807196198,660,0.08961303462321792261,7365,0.7299144812548463
"POINT(91988.85731660866 434229.3038718568)",1525294,"010100002040710000C89E91B74D75F6401D2F2A37D5801A41",1625,0.16430738119312436805,7395,0.74772497472194135490,870,0.08796764408493427705,9890,0.6626095476358873
"POINT(90302.65918309888 435639.947818216)",1752180,"010100002040710000BC93038CEA0BF640C1DB90CADF961A41",1620,0.17252396166134185304,6625,0.70553780617678381257,1145,0.12193823216187433440,9390,0.7335051735841073
"POINT(90479.81811999185 436402.7310545844)",1757324,"01010000204071000013FD0417FD16F640AE9299ECCAA21A41",2005,0.14895988112927191679,9980,0.74145616641901931649,1475,0.10958395245170876672,13460,0.6806105101657814
"POINT(93039.8256214987 437429.33377579594)",1813514,"0101000020407100007DE3BE35FDB6F6407F52C955D5B21A41",860,0.07985143918291550604,8850,0.82172701949860724234,1060,0.09842154131847725162,10770,0.5382836751996103
"POINT(89409.86836869495 436858.6903438743)",2776068,"0101000020407100009B92D6E41DD4F5402C81E9C2EAA91A41",2370,0.20067739204064352244,8460,0.71634208298052497883,980,0.08298052497883149873,11810,0.6988999564732699
"POINT(92705.34342886593 438711.9585507903)",3078200,"0101000020407100003B44AF7E15A2F640A0568ED5DFC61A41",2805,0.15344638949671772429,13340,0.72975929978118161926,2135,0.11679431072210065646,18280,0.6993563554806063
"POINT(92861.699256902 438649.6778008699)",3078201,"01010000204071000059012830DBABF640666E11B6E6C51A41",2595,0.15520334928229665072,12080,0.72248803827751196172,2045,0.12230861244019138756,16720,0.710888227070378
