"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
"POINT(95640.00558917508 436935.1969556591)",576097149,"010100002040710000C3ACE4168059F7408ABEAEC91CAB1A41",0,0E-20,4680,1.00000000000000000000,0,0E-20,4680,-0,0.6985128187744609,0.7147072584791313,0.6985128187744609,0.7147072584791313
"POINT(95707.21973866264 436915.9878458676)",576097150,"0101000020407100001BB00C84B35DF740FBDD8DF3CFAA1A41",0,0E-20,4680,1.00000000000000000000,0,0E-20,4680,-0,0.6985128187744609,0.7147072584791313,0.6985128187744609,0.7147072584791313
"POINT(95658.55745394235 436905.51446567726)",576097151,"01010000204071000037D354EBA85AF7402B17D00EA6AA1A41",0,0E-20,4680,1.00000000000000000000,0,0E-20,4680,-0,0.6985128187744609,0.7147072584791313,0.6985128187744609,0.7147072584791313
"POINT(95796.27900335364 436756.28633336176)",576099839,"0101000020407100007638CC764463F740A292342551A81A41",0,0E-20,4480,1.00000000000000000000,0,0E-20,4480,-0,0.6985128187744609,0.7147072584791313,0.6985128187744609,0.7147072584791313
"POINT(92525.38956529972 437307.6582397239)",4354648890,"010100002040710000DFD2A83BD696F6401C9809A2EEB01A41",0,0,0,0,0,0,0,0,0.5971411262543447,0.5792599201986935,0.5971411262543447,0.5792599201986935
"POINT(92904.08665717865 436363.46451006527)",4834510889,"01010000204071000044A3F26281AEF640CC86A8DB2DA21A41",180,0.04800000000000000000,2850,0.76000000000000000000,720,0.19200000000000000000,3750,0.6109311871523221,0.5971411262543447,0.5515260471833874,0.013790060897977408,0.059405139968934706
"POINT(99621.23465811247 444138.26242062496)",4896156331,"0101000020407100006DDD28C15352F84008FEB70CA91B1B41",0,0,0,0,0,0,0,0,0.8325046158355297,0.7628504267484283,0.8325046158355297,0.7628504267484283
"POINT(91879.24635116526 436260.8209087232)",6052810772,"01010000204071000062EB0DF1736EF640DD4B9C4893A01A41",30,0.02272727272727272727,990,0.75000000000000000000,300,0.22727272727272727273,1320,0.581182438556362,0.5971411262543447,0.6085758142874714,0.0159586876979827,0.02739337573110945
"POINT(92671.90669381281 441368.19286563364)",277663919,"010100002040710000185FD181FE9FF64094917EC560F01A41",150,0.37500000000000000000,225,0.56250000000000000000,25,0.06250000000000000000,400,0.7871203566965331,0.8448689234021223,0.8636553929449232,0.057748566705589144,0.07653503624839009
"POINT(92722.56085802206 441306.2334920144)",964302455,"010100002040710000E74246F928A3F640D78718EF68EF1A41",150,0.37500000000000000000,225,0.56250000000000000000,25,0.06250000000000000000,400,0.7871203566965331,0.8448689234021223,0.8636553929449232,0.057748566705589144,0.07653503624839009
