"id","c28992r100","osm_id"
"E0955N4319_54084561","E0955N4319",54084561
"E0955N4319_1739787906","E0955N4319",1739787906
"E0955N4319_1739787907","E0955N4319",1739787907
"E0955N4319_1739787908","E0955N4319",1739787908
"E0955N4320_25801467","E0955N4320",25801467
"E0955N4320_54084561","E0955N4320",54084561
"E0955N4320_54090116","E0955N4320",54090116
"E0955N4320_131952682","E0955N4320",131952682
"E0955N4320_133089732","E0955N4320",133089732
"E0955N4320_306396449","E0955N4320",306396449
"E0955N4320_820385515","E0955N4320",820385515
"E0955N4320_835822384","E0955N4320",835822384
"E0955N4320_835822402","E0955N4320",835822402
"E0955N4320_835822417","E0955N4320",835822417
"E0955N4320_919677998","E0955N4320",919677998
"E0955N4320_919678026","E0955N4320",919678026
"E0955N4320_919678034","E0955N4320",919678034
"E0955N4320_1739787906","E0955N4320",1739787906
"E0955N4320_1739787907","E0955N4320",1739787907
"E0955N4320_1739787908","E0955N4320",1739787908
"E0955N4320_9044905876","E0955N4320",9044905876
"E0955N4320_9044905878","E0955N4320",9044905878
"E0955N4325_25801467","E0955N4325",25801467
"E0955N4325_54084712","E0955N4325",54084712
"E0955N4325_54090116","E0955N4325",54090116
"E0955N4325_129581559","E0955N4325",129581559
"E0955N4325_152905913","E0955N4325",152905913
"E0955N4325_483554744","E0955N4325",483554744
"E0955N4325_835822339","E0955N4325",835822339
"E0955N4325_835822343","E0955N4325",835822343
"E0955N4325_835822357","E0955N4325",835822357
"E0955N4325_835822384","E0955N4325",835822384
"E0955N4325_835822399","E0955N4325",835822399
"E0955N4325_835822402","E0955N4325",835822402
"E0955N4325_835822405","E0955N4325",835822405
"E0955N4325_835822415","E0955N4325",835822415
"E0955N4325_835822417","E0955N4325",835822417
"E0955N4325_835822419","E0955N4325",835822419
"E0955N4325_835822429","E0955N4325",835822429
"E0955N4325_835822433","E0955N4325",835822433
"E0955N4325_902460999","E0955N4325",902460999
"E0955N4325_917275107","E0955N4325",917275107
"E0955N4325_917275122","E0955N4325",917275122
"E0955N4325_917275142","E0955N4325",917275142
"E0955N4325_917275144","E0955N4325",917275144
"E0955N4325_917275154","E0955N4325",917275154
"E0955N4325_919677996","E0955N4325",919677996
"E0955N4325_919677998","E0955N4325",919677998
"E0955N4325_919678026","E0955N4325",919678026
"E0955N4325_919678034","E0955N4325",919678034
"E0955N4325_2790766248","E0955N4325",2790766248
"E0955N4325_2790766460","E0955N4325",2790766460
"E0955N4325_2790766169","E0955N4325",2790766169
"E0955N4325_2790767041","E0955N4325",2790767041
"E0955N4325_4938853022","E0955N4325",4938853022
"E0955N4325_6654012118","E0955N4325",6654012118
"E0955N4325_6654012156","E0955N4325",6654012156
"E0955N4326_129581559","E0955N4326",129581559
"E0955N4326_483554744","E0955N4326",483554744
"E0955N4326_835822339","E0955N4326",835822339
"E0955N4326_835822343","E0955N4326",835822343
"E0955N4326_835822357","E0955N4326",835822357
"E0955N4326_835822384","E0955N4326",835822384
"E0955N4326_835822399","E0955N4326",835822399
"E0955N4326_835822402","E0955N4326",835822402
"E0955N4326_835822405","E0955N4326",835822405
"E0955N4326_835822415","E0955N4326",835822415
"E0955N4326_835822417","E0955N4326",835822417
"E0955N4326_835822419","E0955N4326",835822419
"E0955N4326_835822429","E0955N4326",835822429
"E0955N4326_902460999","E0955N4326",902460999
"E0955N4326_917275107","E0955N4326",917275107
"E0955N4326_917275122","E0955N4326",917275122
"E0955N4326_917275142","E0955N4326",917275142
"E0955N4326_917275144","E0955N4326",917275144
"E0955N4326_917275154","E0955N4326",917275154
"E0955N4326_919677998","E0955N4326",919677998
"E0955N4326_919678026","E0955N4326",919678026
"E0955N4326_919678034","E0955N4326",919678034
"E0955N4326_2790766248","E0955N4326",2790766248
"E0955N4326_2790766460","E0955N4326",2790766460
"E0955N4326_2790766169","E0955N4326",2790766169
"E0955N4326_2790767041","E0955N4326",2790767041
"E0955N4326_4938853022","E0955N4326",4938853022
"E0955N4326_6654012118","E0955N4326",6654012118
"E0955N4326_6654012156","E0955N4326",6654012156
"E0955N4327_129581559","E0955N4327",129581559
"E0955N4327_835822405","E0955N4327",835822405
"E0955N4327_835822415","E0955N4327",835822415
"E0955N4327_902460999","E0955N4327",902460999
"E0955N4327_917275107","E0955N4327",917275107
"E0955N4327_917275122","E0955N4327",917275122
"E0955N4327_917275142","E0955N4327",917275142
"E0955N4327_917275144","E0955N4327",917275144
"E0955N4327_917275154","E0955N4327",917275154
"E0955N4327_2790767041","E0955N4327",2790767041
"E0955N4327_6654012118","E0955N4327",6654012118
"E0955N4327_6654012156","E0955N4327",6654012156
"E0955N4328_129581559","E0955N4328",129581559
"E0955N4328_902460999","E0955N4328",902460999
"E0955N4328_917275107","E0955N4328",917275107
"E0955N4328_917275122","E0955N4328",917275122
"E0955N4328_917275142","E0955N4328",917275142
"E0955N4328_917275144","E0955N4328",917275144
"E0955N4328_917275154","E0955N4328",917275154
"E0955N4328_6654012118","E0955N4328",6654012118
"E0955N4329_129581559","E0955N4329",129581559
"E0955N4329_902460999","E0955N4329",902460999
