"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index"
"POINT(130353.474574482 456870.9162141881)",535881,"0101000020407100007B69DB9717D3FF40580D34AA9BE21B41",955,0.23994974874371859296,2665,0.66959798994974874372,360,0.09045226130653266332,3980,0.7540404000574809
"POINT(136123.05143931875 454643.01311220834)",1015766,"0101000020407100007E045969D89D004168496D0DCCBF1B41",540,0.18212478920741989882,2210,0.74536256323777403035,215,0.07251264755480607083,2965,0.6549110346609348
"POINT(136852.61895731997 455567.63477038837)",3217163,"01010000204071000037E59FF3A4B40041AA3F018A3ECE1B41",980,0.05606407322654462243,14730,0.84267734553775743707,1770,0.10125858123569794050,17480,0.48940582090604984
"POINT(136713.32060366825 455453.0976291774)",3243982,"010100002040710000F1A798904AB0004130E7F86374CC1B41",685,0.04844413012729844413,11955,0.84547383309759547383,1500,0.10608203677510608204,14140,0.4793103241120729
"POINT(135298.9388233754 455729.44305136584)",4002474,"01010000204071000071D4B58217840041DB41AFC5C5D01B41",1855,0.12240184757505773672,12130,0.80039590894094358298,1170,0.07720224348399868030,15155,0.5762231188721455
"POINT(134958.03932923102 458426.7674088055)",4169901,"01010000204071000008D88B5070790041299DD311EBFA1B41",2445,0.14416273584905660377,13010,0.76709905660377358491,1505,0.08873820754716981132,16960,0.6349228166425191
"POINT(134472.7090010655 455079.0250032492)",4233384,"01010000204071000029C008AC456A0041A6739A199CC61B41",1890,0.23507462686567164179,5365,0.66728855721393034826,785,0.09763681592039800995,8040,0.7622757351787199
"POINT(135459.03079272137 455817.88933734037)",4293225,"0101000020407100001A41103F18890041A072AE8E27D21B41",1680,0.12112472963229992790,11115,0.80136986301369863014,1075,0.07750540735400144196,13870,0.5746784080347337
"POINT(136669.28676007836 456416.58746004605)",4410327,"01010000204071000033DE484BEAAE004156208F5982DB1B41",2425,0.08900715727656450725,22640,0.83097816113048265737,2180,0.08001468159295283538,27245,0.5199737057734312
"POINT(136160.8783680345 455009.55741474364)",4526993,"010100002040710000F0D1E506079F004139EECA3A86C51B41",540,0.18212478920741989882,2210,0.74536256323777403035,215,0.07251264755480607083,2965,0.6549110346609348
"POINT(135271.29764525435 456350.0633818494)",4746499,"010100002040710000CAD593613A830041E92BE74078DA1B41",2010,0.12503888024883359253,12875,0.80093312597200622084,1190,0.07402799377916018663,16075,0.5738871811799012
"POINT(139476.95221062936 453598.097363181)",6315578,"010100002040710000409B209EA7060141792CB36378AF1B41",10,0.50000000000000000000,10,0.50000000000000000000,0,0E-20,20,0.6309297535714574
"POINT(134701.00702660263 455445.01350139076)",6315590,"010100002040710000A4F6630E68710041FF4ED30D54CC1B41",1785,0.23548812664907651715,5055,0.66688654353562005277,740,0.09762532981530343008,7580,0.7626478875966897
"POINT(138095.52592426495 455554.9807899062)",6315598,"010100002040710000F1C717357CDB00416E3054EC0BCE1B41",2070,0.13084702907711757269,11835,0.74810366624525916561,1915,0.12104930467762326169,15820,0.6725025328343204
"POINT(134583.08485629357 456377.539169198)",6315606,"010100002040710000EE22C9ADB86D004162F81B28E6DA1B41",1655,0.13449817147501015847,9785,0.79520520113774888257,865,0.07029662738724095896,12305,0.5813660904789338
"POINT(134468.8888783082 457592.3743728829)",6315660,"010100002040710000FF3A6C1C276A0041E29A5B7FE1ED1B41",1700,0.12719790497568275346,10470,0.78338945005611672278,1195,0.08941264496820052376,13365,0.6093277151656052
"POINT(136862.0045243313 457186.20099230215)",11180220,"010100002040710000780D4409F0B4004112EDD0CD88E71B41",3460,0.13333333333333333333,20520,0.79075144508670520231,1970,0.07591522157996146435,25950,0.5916733673000896
"POINT(137205.7740199032 459340.78294185724)",11957655,"010100002040710000D6583131AEBF00419E82BB2133091C41",0,0E-20,5,0.50000000000000000000,5,0.50000000000000000000,10,0.6309297535714574
"POINT(136547.26410178552 456664.1756939033)",20986681,"0101000020407100009D65E11C1AAB0041431AE9B360DF1B41",3285,0.10463449593884376493,25745,0.82003503742634177417,2365,0.07533046663481446090,31395,0.5403963664547814
"POINT(136925.03338405286 454853.4551601861)",20986715,"010100002040710000BADB5E44E8B60041078315D215C31B41",765,0.07680722891566265060,7910,0.79417670682730923695,1285,0.12901606425702811245,9960,0.5865047589195298
"POINT(136971.5608162393 454867.8837785285)",20986716,"01010000204071000077398D7C5CB80041133DFD884FC31B41",870,0.08033240997229916898,8585,0.79270544783010156971,1375,0.12696214219759926131,10830,0.5905140232838829
"POINT(134374.10416267457 457675.4760070268)",22677519,"010100002040710000863D53D530670041D3626EE72DEF1B41",1910,0.12746079412746079413,11685,0.77977977977977977978,1390,0.09275942609275942609,14985,0.6163103232059279
"POINT(130437.41999838056 456938.3390404493)",22900357,"010100002040710000CE3850B856D8FF40676B2D5BA9E31B41",705,0.23001631321370309951,2110,0.68841761827079934747,250,0.08156606851549755302,3065,0.7277298297135201
"POINT(135032.49116892475 453614.63049522095)",22910634,"01010000204071000025F9E9EDC37B0041098AA085BAAF1B41",1995,0.20630816959669079628,7000,0.72388831437435367115,675,0.06980351602895553257,9670,0.6784531214151392
"POINT(134955.41243461258 453735.90081566706)",22910635,"010100002040710000A684AA4C5B790041176C6F9A9FB11B41",2230,0.19982078853046594982,8130,0.72849462365591397849,800,0.07168458781362007168,11160,0.6749154934202705
"POINT(135062.66012515518 453662.9778635563)",22960346,"01010000204071000086B2EF47B57C0041691055E97BB01B41",2010,0.20594262295081967213,7065,0.72387295081967213115,685,0.07018442622950819672,9760,0.6788451714951651
"POINT(135109.19541209989 453580.94399076933)",22960347,"01010000204071000012383490297E00412884A5C633AF1B41",1815,0.20450704225352112676,6460,0.72788732394366197183,600,0.06760563380281690141,8875,0.6716668159429808
"POINT(135139.86065299524 453706.3023083455)",22960661,"0101000020407100009E099EE21E7F0041A551903529B11B41",1760,0.19853355893965031021,6495,0.73265651438240270728,610,0.06880992667794698252,8865,0.6672648927978438
"POINT(134327.7597525661 454602.3608112597)",22996032,"0101000020407100004427F913BE650041C281787129BF1B41",1340,0.17413905133203378817,5635,0.73229369720597790773,720,0.09356725146198830409,7695,0.6865106782314844
"POINT(136437.56160092575 457981.53119440464)",23996958,"0101000020407100004CA0287EACA700410F6DF11FF6F31B41",1120,0.14195183776932826362,5850,0.74144486692015209125,920,0.11660329531051964512,7890,0.6822355760671723
"POINT(136418.203606617 457885.4676591971)",23996959,"0101000020407100008A81FCA011A70041750DE2DE75F21B41",1115,0.13850931677018633540,6005,0.74596273291925465839,930,0.11552795031055900621,8050,0.6751895332745
"POINT(135357.21425125698 455638.5908835954)",24281424,"010100002040710000EF5CC9B6E9850041D896105D5ACF1B41",1075,0.11678435632808256382,7380,0.80173818576860401955,750,0.08147745790331341662,9205,0.5754963352032658
