"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
"POINT(5.141985701466266 52.07642870396165)",3111874456,"0101000020407100002C1C394769DE004176BF857CEDB91B41",0,0,0,0,0,0,0,0,0.583678057436428,0.735719021475792,0.583678057436428,0.735719021475792
"POINT(5.0097364013351 52.11115190398399)",4898062735,"01010000204071000006FE77666F87FF40070340E6E5F61B41",0,0,0,0,0,0,0,0,0.8326848836378368,0,0.8326848836378368,0
"POINT(5.093594801417529 52.07249320395965)",8538683794,"0101000020407100001B8F94C7AF760041C005A84647B31B41",105,0.05357142857142857143,1855,0.94642857142857142857,0,0E-20,1960,0.19014875333388573,0.6797254651134986,0.6763681553868278,0.4895767117796129,0.4862194020529421
"POINT(5.127376570414689 52.121997490562784)",11957655,"010100002040710000D6583131AEBF00419E82BB2133091C41",0,0E-20,50,0.50000000000000000000,50,0.50000000000000000000,100,0.6309297535714574,0.7789330273197645,0.8620485698650453,0.14800327374830713,0.23111881629358788
"POINT(5.104848595616645 52.068763413341635)",71413800,"01010000204071000089F21268BF8E0041E6B81029BFAC1B41",385,0.05500000000000000000,5355,0.76500000000000000000,1260,0.18000000000000000000,7000,0.6126954110197114,0.6797254651134986,0.6232138867454079,0.06703005409378726,0.01051847572569653
"POINT(5.022821006147582 52.096613351594264)",485720346,"0101000020407100005FFE8479F2BEFF4050621E708DDD1B41",0,0E-20,180,0.75000000000000000000,60,0.25000000000000000000,240,0.5118595071429148,0.8326848836378368,-0,0.32082537649492193,0.5118595071429148
"POINT(5.10086120142731 52.12950720399461)",860571141,"01010000204071000021383C5F0987004107C6068C5C161C41",0,0,0,0,0,0,0,0,0.7789330273197645,0.8620485698650453,0.7789330273197645,0.8620485698650453
"POINT(5.011929899436478 52.111527508451)",966740128,"01010000204071000013DA60F7D690FF40279AD1F089F71B41",0,0,0,0,0,0,0,0,0.8326848836378368,0,0.8326848836378368,0
"POINT(5.172299001497025 52.08436600396628)",1796486771,"0101000020407100002600FA1E6F1F0141F181E7889FC71B41",0,0E-20,9295,1.00000000000000000000,0,0E-20,9295,-0,0.583678057436428,0.011468635625467653,0.583678057436428,0.011468635625467653
"POINT(5.150100101475102 52.092583903971544)",2669385876,"01010000204071000050BD7F73FAEF0041DF41E2B8FBD51B41",0,0E-20,5135,1.00000000000000000000,0,0E-20,5135,-0,0.583678057436428,0.659717660993989,0.583678057436428,0.659717660993989
"POINT(5.109247701433741 52.084005703966625)",2716166329,"0101000020407100003D3C4F5D6098004116DCDED539C71B41",0,0E-20,2030,1.00000000000000000000,0,0E-20,2030,-0,0.6797254651134986,0.6458387784998807,0.6797254651134986,0.6458387784998807
"POINT(5.172329301497047 52.084136503966164)",3476251578,"010100002040710000FAA5AA217F1F0141D7E6EC5F39C71B41",0,0E-20,9295,1.00000000000000000000,0,0E-20,9295,-0,0.583678057436428,0.011468635625467653,0.583678057436428,0.011468635625467653
"POINT(5.032443701358033 52.11458370398593)",4583318294,"010100002040710000B2E487D6C4E8FF4039BDEECBBDFC1B41",0,0E-20,75,1.00000000000000000000,0,0E-20,75,-0,0.6884161193992822,0.6309297535714574,0.6884161193992822,0.6309297535714574
"POINT(5.171356801496151 52.08602410396732)",7711165785,"010100002040710000252C23DC6E1D0141239F893682CA1B41",0,0E-20,5525,1.00000000000000000000,0,0E-20,5525,-0,0.583678057436428,0.011468635625467653,0.583678057436428,0.011468635625467653
"POINT(5.034539101360061 52.11295270398495)",7780257386,"010100002040710000B2FEC127AFF1FF403347F625E5F91B41",720,0.34285714285714285714,1380,0.65714285714285714286,0,0E-20,2100,0.5852041218701718,0.8326848836378368,-0,0.24748076176766498,0.5852041218701718
"POINT(5.117252901443059 52.11358690398479)",7993778864,"0101000020407100009E064DD4E7A90041DF94E63A9EFA1B41",400,0.16000000000000000000,2000,0.80000000000000000000,100,0.04000000000000000000,2500,0.5465830980043144,0.7789330273197645,0.711534471260347,0.23234992931545018,0.1649513732560326
"POINT(5.179259001504081 52.08606270396729)",8914760994,"010100002040710000C12C59E45B2E014173C278128DCA1B41",0,0E-24,14170,1.00000000000000000000,0,0E-24,14170,-0,0.583678057436428,0.011468635625467653,0.583678057436428,0.011468635625467653
"POINT(5.027501296297095 52.09953587988875)",535881,"0101000020407100007B69DB9717D3FF40580D34AA9BE21B41",2520,0.18181818181818181818,10020,0.72294372294372294372,1320,0.09523809523809523810,13860,0.6994596072747515,0.8326848836378368,-0,0.13322527636308523,0.6994596072747515
"POINT(5.111827191914366 52.07973841230299)",1015766,"0101000020407100007E045969D89D004168496D0DCCBF1B41",2905,0.17327766179540709812,12670,0.75574112734864300626,1190,0.07098121085594989562,16765,0.640035668419101,0.6797254651134986,0.6458387784998807,0.03968979669439765,0.0058031100807797165
"POINT(5.122420808253921 52.088073249832235)",3217163,"01010000204071000037E59FF3A4B40041AA3F018A3ECE1B41",4565,0.04508419337316675720,85360,0.84302009777294948398,11330,0.11189570885388375883,101255,0.4812949295760355,0.4575647146001562,0.48504419045088903,0.023730214975879294,0.003749260874853555
"POINT(5.120394511683148 52.087039214182994)",3243982,"010100002040710000F1A798904AB0004130E7F86374CC1B41",4070,0.04722399489470325463,71940,0.83471601786853860881,10175,0.11805998723675813657,86185,0.4980950529644975,0.4575647146001562,0.6469377313914519,0.040530338364341334,0.14884267842695442
"POINT(5.099742491530943 52.089474484622585)",4002474,"01010000204071000071D4B58217840041DB41AFC5C5D01B41",10615,0.10885504794134235759,78815,0.80823463056965595037,8085,0.08291032148900169205,97515,0.5642880752379036,0.6516983727453005,0.5643310546377929,0.08741029750739693,0.000042979399889286896
"POINT(5.094609876657168 52.113705567714945)",4169901,"01010000204071000008D88B5070790041299DD311EBFA1B41",17680,0.15341229554427523971,86125,0.74732092498589960519,11440,0.09926677946982515510,115245,0.6686221987964951,0.6353627822465662,0.7122474523315927,0.03325941654992892,0.04362525353509761
"POINT(5.087726149799937 52.08359856417561)",4233384,"01010000204071000029C008AC456A0041A6739A199CC61B41",14410,0.24214417744916820702,38665,0.64972273567467652495,6435,0.10813308687615526802,59510,0.7865479822324555,0.6516983727453005,0.7675097938318464,0.13484960948715496,0.019038188400609113
"POINT(5.102073320387033 52.09027510594086)",4293225,"0101000020407100001A41103F18890041A072AE8E27D21B41",9900,0.10739856801909307876,74580,0.80906921241050119332,7700,0.08353221957040572792,92180,0.5629077634250704,0.6516983727453005,0.4570817209562605,0.08879060932023009,0.10582604246880994
"POINT(5.119700275598574 52.095697550169234)",4410327,"01010000204071000033DE484BEAAE004156208F5982DB1B41",10120,0.07386591730228823766,117480,0.85748695303091128061,9405,0.06864712966680048173,137005,0.462571047794361,0.4575647146001562,0.4276112154107942,0.005006333194204793,0.03495983238356676
"POINT(5.112358770366409 52.083034182859855)",4526993,"010100002040710000F0D1E506079F004139EECA3A86C51B41",2660,0.19000000000000000000,10220,0.73000000000000000000,1120,0.08000000000000000000,14000,0.6802546014479591,0.6797254651134986,0.6458387784998807,0.0005291363344605005,0.034415822948078434
"POINT(5.099303283899658 52.09505159209405)",4746499,"010100002040710000CAD593613A830041E92BE74078DA1B41",12320,0.12334801762114537445,80080,0.80176211453744493392,7480,0.07488986784140969163,99880,0.5728816479974783,0.6516983727453005,0.6063450703739047,0.0788167247478222,0.03346342237642641
"POINT(5.091035023364392 52.08689645823661)",6315590,"010100002040710000A4F6630E68710041FF4ED30D54CC1B41",11550,0.25990099009900990099,28545,0.64232673267326732673,4345,0.09777227722772277228,44440,0.7845057487404293,0.6516983727453005,0.7675097938318464,0.13280737599512882,0.016995954908582966
"POINT(5.140556114426215 52.087998845251064)",6315598,"010100002040710000F1C717357CDB00416E3054EC0BCE1B41",16185,0.14123652864435621100,84175,0.73454339194554736245,14235,0.12422007941009642655,114595,0.6937315937161276,0.583678057436428,0.7707483092951708,0.1100535362796996,0.07701671557904322
"POINT(5.089258710527658 52.09527359365831)",6315606,"010100002040710000EE22C9ADB86D004162F81B28E6DA1B41",9680,0.14227970897332255457,53900,0.79223928860145513339,4455,0.06548100242522231205,68035,0.5829597352932891,0.6516983727453005,0.6063450703739047,0.06873863745201136,0.023385335080615577
"POINT(5.087519110393274 52.10618819937795)",6315660,"010100002040710000FF3A6C1C276A0041E29A5B7FE1ED1B41",8450,0.11304347826086956522,61815,0.82695652173913043478,4485,0.06000000000000000000,74750,0.5209861888597092,0.6353627822465662,0.5240328490939813,0.11437659338685702,0.003046660234272136
"POINT(5.122471670234869 52.1026211313526)",11180220,"010100002040710000780D4409F0B4004112EDD0CD88E71B41",20075,0.15492359932088285229,98560,0.76061120543293718166,10945,0.08446519524617996604,129580,0.6424304810445822,0.6847401462819839,0.6777243161206824,0.04230966523740165,0.03529383507610018
"POINT(5.117906201443032 52.09791880397511)",20986681,"0101000020407100009D65E11C1AAB0041431AE9B360DF1B41",16225,0.09436980166346769034,142670,0.82981445937300063980,13035,0.07581573896353166987,171930,0.5216858614075676,0.6847401462819839,0.5418528033609943,0.1630542848744163,0.02016694195342672
"POINT(5.123515201447956 52.081656603965065)",20986715,"010100002040710000BADB5E44E8B60041078315D215C31B41",2475,0.05674653215636822194,34760,0.79697351828499369483,6380,0.14627994955863808323,43615,0.5687714672723339,0.4575647146001562,0.6469377313914519,0.11120675267217767,0.07816626411911809
"POINT(5.124193201448643 52.081787803965135)",20986716,"01010000204071000077398D7C5CB80041133DFD884FC31B41",3355,0.06573275862068965517,40260,0.78879310344827586207,7425,0.14547413793103448276,51040,0.588484089466,0.4575647146001562,0.48504419045088903,0.13091937486584376,0.10343989901511091
"POINT(5.086130565970929 52.10693158470333)",22677519,"010100002040710000863D53D530670041D3626EE72DEF1B41",8905,0.11111111111111111111,66170,0.82562854825628548256,5070,0.06326034063260340633,80145,0.5251761417443388,0.6353627822465662,0.5240328490939813,0.11018664050222737,0.001143292650357508
"POINT(5.028721551361371 52.100145598329945)",22900357,"010100002040710000CE3850B856D8FF40676B2D5BA9E31B41",825,0.22916666666666666667,2100,0.58333333333333333333,675,0.18750000000000000000,3600,0.8792162455023514,0.6884161193992822,0.7049683119581,0.1908001261030693,0.1742479335442515
"POINT(5.095978489422474 52.070457124137164)",22910634,"01010000204071000025F9E9EDC37B0041098AA085BAAF1B41",10675,0.20306258322237017310,38185,0.72636484687083888149,3710,0.07057256990679094541,52570,0.6763510052397511,0.6797254651134986,0.6763681553868278,0.003374459873747515,0.00001715014707670548
"POINT(5.094847196684158 52.0715443135907)",22910635,"010100002040710000A684AA4C5B790041176C6F9A9FB11B41",8785,0.19263238679969301612,33845,0.74213353798925556408,2975,0.06523407521105141980,45605,0.6523301261319501,0.6797254651134986,0.6763681553868278,0.027395338981548556,0.024038029254877746
"POINT(5.09641567325907 52.07089275457914)",22960346,"01010000204071000086B2EF47B57C0041691055E97BB01B41",8960,0.19541984732824427481,33775,0.73664122137404580153,3115,0.06793893129770992366,45850,0.6616517019988353,0.6797254651134986,0.6763681553868278,0.018073763114663355,0.014716453387992545
"POINT(5.097099163876595 52.07015710996357)",22960347,"01010000204071000012383490297E00412884A5C633AF1B41",10885,0.20664451827242524917,38080,0.72292358803986710963,3710,0.07043189368770764120,52675,0.6801718493830985,0.6797254651134986,0.6763681553868278,0.0004463842695998643,0.003803693996270674
"POINT(5.097539114865884 52.07128492526696)",22960661,"0101000020407100009E099EE21E7F0041A551903529B11B41",8225,0.19781144781144781145,30415,0.73148148148148148148,2940,0.07070707070707070707,41580,0.6704655872398572,0.6797254651134986,0.6763681553868278,0.009259877873641464,0.005902568146970655
"POINT(5.085640354999202 52.07930894630391)",22996032,"0101000020407100004427F913BE650041C281787129BF1B41",7000,0.19801980198019801980,24850,0.70297029702970297030,3500,0.09900990099009900990,35350,0.7258157878683725,0.6797254651134986,0.6447841279243715,0.0460903227548739,0.08103165994400108
