"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index"
"POINT(130353.474574482 456870.9162141881)",535881,"0101000020407100007B69DB9717D3FF40580D34AA9BE21B41",0,0E-20,15,0.75000000000000000000,5,0.25000000000000000000,20,0.5118595071429148
"POINT(136123.05143931875 454643.01311220834)",1015766,"0101000020407100007E045969D89D004168496D0DCCBF1B41",225,0.15957446808510638298,1070,0.75886524822695035461,115,0.08156028368794326241,1410,0.6432445894426626
"POINT(136852.61895731997 455567.63477038837)",3217163,"01010000204071000037E59FF3A4B40041AA3F018A3ECE1B41",120,0.04301075268817204301,2385,0.85483870967741935484,285,0.10215053763440860215,2790,0.45733766184762925
"POINT(136713.32060366825 455453.0976291774)",3243982,"010100002040710000F1A798904AB0004130E7F86374CC1B41",120,0.05251641137855579869,1820,0.79649890590809628009,345,0.15098468271334792123,2285,0.5656422964231798
"POINT(135298.9388233754 455729.44305136584)",4002474,"01010000204071000071D4B58217840041DB41AFC5C5D01B41",380,0.10749646393210749646,2835,0.80198019801980198020,320,0.09052333804809052334,3535,0.5772496475294409
"POINT(134958.03932923102 458426.7674088055)",4169901,"01010000204071000008D88B5070790041299DD311EBFA1B41",485,0.17509025270758122744,2010,0.72563176895306859206,275,0.09927797833935018051,2770,0.6982639095708457
"POINT(134472.7090010655 455079.0250032492)",4233384,"01010000204071000029C008AC456A0041A6739A199CC61B41",530,0.27461139896373056995,1240,0.64248704663212435233,160,0.08290155440414507772,1930,0.7696822610979073
"POINT(135459.03079272137 455817.88933734037)",4293225,"0101000020407100001A41103F18890041A072AE8E27D21B41",220,0.07260726072607260726,2510,0.82838283828382838284,300,0.09900990099009900990,3030,0.5237134898178583
"POINT(136669.28676007836 456416.58746004605)",4410327,"01010000204071000033DE484BEAAE004156208F5982DB1B41",135,0.04787234042553191489,2485,0.88120567375886524823,200,0.07092198581560283688,2820,0.4046991084011161
"POINT(136160.8783680345 455009.55741474364)",4526993,"010100002040710000F0D1E506079F004139EECA3A86C51B41",210,0.20487804878048780488,755,0.73658536585365853659,60,0.05853658536585365854,1025,0.6518502238898093
"POINT(135271.29764525435 456350.0633818494)",4746499,"010100002040710000CAD593613A830041E92BE74078DA1B41",495,0.14798206278026905830,2640,0.78923766816143497758,210,0.06278026905829596413,3345,0.585584119074427
"POINT(134701.00702660263 455445.01350139076)",6315590,"010100002040710000A4F6630E68710041FF4ED30D54CC1B41",110,0.21782178217821782178,335,0.66336633663366336634,60,0.11881188118811881188,505,0.7803810101809772
"POINT(138095.52592426495 455554.9807899062)",6315598,"010100002040710000F1C717357CDB00416E3054EC0BCE1B41",210,0.13375796178343949045,1125,0.71656050955414012739,235,0.14968152866242038217,1570,0.7210826617525742
"POINT(134583.08485629357 456377.539169198)",6315606,"010100002040710000EE22C9ADB86D004162F81B28E6DA1B41",210,0.20792079207920792079,715,0.70792079207920792079,85,0.08415841584158415842,1010,0.7094302780697763
"POINT(134468.8888783082 457592.3743728829)",6315660,"010100002040710000FF3A6C1C276A0041E29A5B7FE1ED1B41",30,0.07792207792207792208,345,0.89610389610389610390,10,0.02597402597402597403,385,0.3567997980342569
"POINT(136862.0045243313 457186.20099230215)",11180220,"010100002040710000780D4409F0B4004112EDD0CD88E71B41",570,0.15079365079365079365,2850,0.75396825396825396825,360,0.09523809523809523810,3780,0.6573227209233173
"POINT(136547.26410178552 456664.1756939033)",20986681,"0101000020407100009D65E11C1AAB0041431AE9B360DF1B41",465,0.10877192982456140351,3540,0.82807017543859649123,270,0.06315789473684210526,4275,0.520640278971664
"POINT(136925.03338405286 454853.4551601861)",20986715,"010100002040710000BADB5E44E8B60041078315D215C31B41",70,0.06730769230769230769,810,0.77884615384615384615,160,0.15384615384615384615,1040,0.6046393717957876
"POINT(136971.5608162393 454867.8837785285)",20986716,"01010000204071000077398D7C5CB80041133DFD884FC31B41",80,0.06837606837606837607,915,0.78205128205128205128,175,0.14957264957264957265,1170,0.6006434223843607
"POINT(134374.10416267457 457675.4760070268)",22677519,"010100002040710000863D53D530670041D3626EE72DEF1B41",60,0.08510638297872340426,630,0.89361702127659574468,15,0.02127659574468085106,705,0.35692292552117033
"POINT(130437.41999838056 456938.3390404493)",22900357,"010100002040710000CE3850B856D8FF40676B2D5BA9E31B41",0,0E-20,15,0.75000000000000000000,5,0.25000000000000000000,20,0.5118595071429148
"POINT(135032.49116892475 453614.63049522095)",22910634,"01010000204071000025F9E9EDC37B0041098AA085BAAF1B41",760,0.22926093514328808446,2345,0.70739064856711915535,210,0.06334841628959276018,3315,0.6893615876668736
"POINT(134955.41243461258 453735.90081566706)",22910635,"010100002040710000A684AA4C5B790041176C6F9A9FB11B41",575,0.20758122743682310469,2025,0.73104693140794223827,170,0.06137184115523465704,2770,0.6614375280812547
"POINT(135062.66012515518 453662.9778635563)",22960346,"01010000204071000086B2EF47B57C0041691055E97BB01B41",575,0.21616541353383458647,1920,0.72180451127819548872,165,0.06203007518796992481,2660,0.6725430025226542
"POINT(135109.19541209989 453580.94399076933)",22960347,"01010000204071000012383490297E00412884A5C633AF1B41",640,0.24568138195777351248,1790,0.68714011516314779271,175,0.06717850287907869482,2605,0.7137217340635191
"POINT(135139.86065299524 453706.3023083455)",22960661,"0101000020407100009E099EE21E7F0041A551903529B11B41",560,0.20475319926873857404,1980,0.72394881170018281536,195,0.07129798903107861060,2735,0.6798383578060551
"POINT(134327.7597525661 454602.3608112597)",22996032,"0101000020407100004427F913BE650041C281787129BF1B41",385,0.19642857142857142857,1450,0.73979591836734693878,125,0.06377551020408163265,1960,0.6537102680858439
"POINT(136437.56160092575 457981.53119440464)",23996958,"0101000020407100004CA0287EACA700410F6DF11FF6F31B41",175,0.18041237113402061856,690,0.71134020618556701031,105,0.10824742268041237113,970,0.7208312101977119
"POINT(136418.203606617 457885.4676591971)",23996959,"0101000020407100008A81FCA011A70041750DE2DE75F21B41",150,0.17857142857142857143,625,0.74404761904761904762,65,0.07738095238095238095,840,0.6605002940957319
